market_cap_rank,name,symbol,current_price,market_cap,price_change_percentage_24h,total_volume
1,Bitcoin,btc,67132,1345418194880,-3.3206,55942992390
2,Ethereum,eth,1881.24,227070308885,-4.87664,26240352079
3,Tether,usdt,0.998576,187833812836,0.00549,110408612742
4,BNB,bnb,640.75,86390660974,-5.4237,1704468510
5,XRP,xrp,1.24,76925868719,-1.71172,3197607562
6,USDC,usdc,0.999619,75924984096,-0.00665,22295867550
7,Solana,sol,75.42,43653650264,-4.59848,4414185704
8,TRON,trx,0.332098,31483092999,-2.51867,735332321
9,Figure Heloc,figr_heloc,1.035,19027637349,-0.61664,62178279
10,Hyperliquid,hype,72.89,16208169871,0.92292,1572410828
